event_id,corpus,n_articles,n_stories,dup_removed
PFC-2021-AZ-2EC7D4A4,Ped,1,1,0
PFC-2021-AZ-B95AA054,Ped,3,3,0
PFC-2021-CA-2D34B490,Ped,1,1,0
PFC-2021-CA-C4C2878F,Ped,1,1,0
PFC-2021-CA-6907E718,Ped,1,1,0
PFC-2021-AZ-1EAB2D65,Ped,2,2,0
PFC-2021-CA-74B58E7E,Ped,1,1,0
PFC-2021-CA-797A964E,Ped,5,3,2
PFC-2021-AZ-2233AD4D,Ped,1,1,0
PFC-2021-CA-A4274371,Ped,1,1,0
PFC-2021-CA-CFE4DC05,Ped,2,2,0
PFC-2021-CA-8CEDA273,Ped,2,2,0
PFC-2021-CA-50BF6BDD,Ped,2,1,1
PFC-2021-CA-38574677,Ped,1,1,0
PFC-2021-AZ-B0C0F134,Ped,2,2,0
PFC-2021-TX-DFBEC2EF,Ped,2,2,0
PFC-2021-CA-19CA5AE1,Ped,1,1,0
PFC-2021-CA-12DA17F9,Ped,3,2,1
PFC-2021-AZ-497421AA,Ped,1,1,0
PFC-2021-AZ-BA0C64A9,Ped,1,1,0
PFC-2021-CA-7CC5617B,Ped,1,1,0
PFC-2021-CA-48569B4B,Ped,2,1,1
PFC-2021-AZ-072F5529,Ped,1,1,0
PFC-2021-CA-69A0671C,Ped,2,2,0
PFC-2021-AZ-F9C89797,Ped,1,1,0
PFC-2021-AZ-CB2B6DE3,Ped,1,1,0
PFC-2021-CA-AC345D1F,Ped,1,1,0
PFC-2021-CA-E2202E2C,Ped,2,2,0
PFC-2021-AZ-E27C8C3A,Ped,1,1,0
PFC-2021-CA-B993CC53,Ped,2,2,0
PFC-2021-TX-1FDAE343,Ped,1,1,0
PFC-2021-AZ-0FFC560D,Ped,4,4,0
PFC-2021-CA-334C38A9,Ped,1,1,0
PFC-2021-TX-63FE1CE1,Ped,1,1,0
PFC-2021-AZ-EBAA5278,Ped,1,1,0
PFC-2021-AZ-58935CEE,Ped,1,1,0
PFC-2021-AZ-C92BC21A,Ped,1,1,0
PFC-2021-CA-AA8E5987,Ped,6,3,3
PFC-2021-TX-526BA6C5,Ped,1,1,0
PFC-2021-AZ-449FD6C8,Ped,2,2,0
PFC-2021-AZ-731A8072,Ped,2,2,0
PFC-2021-CA-0E67E6C0,Ped,1,1,0
PFC-2021-CA-6B91E65B,Ped,1,1,0
PFC-2021-TX-A9F2F7CC,Ped,1,1,0
PFC-2021-CA-4DC4DA18,Ped,1,1,0
PFC-2021-CA-0CA9FB69,Ped,1,1,0
PFC-2021-CA-E8EE196F,Ped,1,1,0
PFC-2021-CA-0C02B87B,Ped,2,2,0
PFC-2021-TX-3DC6883F,Ped,2,2,0
PFC-2021-CA-49D02D7C,Ped,1,1,0
PFC-2021-AZ-EA0C3C32,Ped,1,1,0
PFC-2021-CA-C0091FAF,Ped,1,1,0
PFC-2021-AZ-D3DD47DC,Ped,1,1,0
PFC-2021-CA-0E94BA17,Ped,2,1,1
PFC-2021-TX-A11089E7,Ped,1,1,0
PFC-2021-CA-B2A700A4,Ped,1,1,0
PFC-2021-AZ-83937967,Ped,1,1,0
PFC-2021-AZ-A22DC8D0,Ped,1,1,0
PFC-2021-AZ-D2C61F88,Ped,1,1,0
PFC-2021-CA-0170B3AE,Ped,2,1,1
PFC-2021-AZ-1175DF71,Ped,2,2,0
PFC-2021-AZ-542DC4D4,Ped,1,1,0
PFC-2021-CA-78E21431,Ped,2,2,0
PFC-2021-AZ-D21270F8,Ped,2,2,0
PFC-2021-TX-BEB1CAF6,Ped,1,1,0
PFC-2021-AZ-6770ED33,Ped,2,1,1
PFC-2021-CA-DE609846,Ped,1,1,0
PFC-2021-AZ-6D208C57,Ped,2,2,0
PFC-2021-AZ-8E6B9EC2,Ped,1,1,0
PFC-2021-TX-A4D36B6D,Ped,1,1,0
PFC-2021-CA-C1BC39E9,Ped,1,1,0
PFC-2021-TX-BE85E5C1,Ped,1,1,0
PFC-2021-TX-ED55F08D,Ped,1,1,0
PFC-2021-AZ-505AEB47,Ped,1,1,0
PFC-2021-CA-30405EB7,Ped,1,1,0
PFC-2021-CA-FA68330A,Ped,1,1,0
PFC-2021-AZ-C01A02E7,Ped,1,1,0
PFC-2021-CA-6C7E038E,Ped,1,1,0
PFC-2021-CA-E9FCC042,Ped,1,1,0
PFC-2021-CA-F77420EC,Ped,1,1,0
PFC-2021-CA-4E3054AC,Ped,1,1,0
PFC-2021-CA-88283343,Ped,1,1,0
PFC-2022-CA-41A90DFC,Ped,1,1,0
PFC-2022-AZ-22AAEC1A,Ped,1,1,0
PFC-2022-AZ-EDA438EA,Ped,1,1,0
PFC-2022-CA-169DFDB7,Ped,2,1,1
PFC-2022-CA-A22FF265,Ped,1,1,0
PFC-2022-AZ-1CCE7E06,Ped,1,1,0
PFC-2022-AZ-19F9F5E7,Ped,1,1,0
PFC-2022-AZ-B007F4D8,Ped,1,1,0
PFC-2022-TX-64866981,Ped,1,1,0
PFC-2022-AZ-5CFDD6ED,Ped,1,1,0
PFC-2022-CA-B5D79446,Ped,4,3,1
PFC-2022-CA-12B4E934,Ped,3,2,1
PFC-2022-TX-F59BF45C,Ped,1,1,0
PFC-2022-CA-B2D08F28,Ped,1,1,0
PFC-2022-AZ-47D04778,Ped,1,1,0
PFC-2022-TX-C242C7D9,Ped,1,1,0
PFC-2022-AZ-2FB61BA5,Ped,1,1,0
PFC-2022-CA-CE9ED2A7,Ped,1,1,0
PFC-2022-CA-00A54B24,Ped,1,1,0
PFC-2022-TX-6FE95E45,Ped,1,1,0
PFC-2022-AZ-054DEB00,Ped,1,1,0
PFC-2022-CA-8DC2FBC2,Ped,4,3,1
PFC-2022-CA-041BAF06,Ped,1,1,0
PFC-2022-CA-EDECD7BF,Ped,1,1,0
PFC-2022-CA-3A648DCC,Ped,1,1,0
PFC-2022-CA-4973B8FF,Ped,1,1,0
PFC-2022-NV-9958ACE4,Ped,1,1,0
PFC-2022-AZ-5CCCF91A,Ped,1,1,0
PFC-2022-CA-0508CEEA,Ped,1,1,0
PFC-2022-CA-36D1127A,Ped,1,1,0
PFC-2022-AZ-8303998B,Ped,2,2,0
PFC-2022-CA-3FC2589F,Ped,1,1,0
PFC-2022-CA-EBFF211A,Ped,1,1,0
PFC-2022-TX-8C4B8CD1,Ped,1,1,0
PFC-2022-AZ-E372499B,Ped,1,1,0
PFC-2022-AZ-2C15897D,Ped,2,1,1
PFC-2022-TX-331A5178,Ped,1,1,0
PFC-2022-CA-EF5E2E01,Ped,1,1,0
PFC-2022-CA-B6981FDC,Ped,3,3,0
PFC-2022-CA-53751D4C,Ped,1,1,0
PFC-2022-CA-0A3CBC37,Ped,1,1,0
PFC-2022-CA-B0B10286,Ped,1,1,0
PFC-2022-AZ-81395BCC,Ped,1,1,0
PFC-2022-AZ-1BF07B24,Ped,1,1,0
PFC-2022-AZ-9EC8AFAC,Ped,1,1,0
PFC-2022-CA-675EBFB4,Ped,1,1,0
PFC-2022-AZ-088D15B0,Ped,1,1,0
PFC-2022-AZ-7303047B,Ped,1,1,0
PFC-2022-CA-F5A11ED5,Ped,1,1,0
PFC-2022-CA-465B1D84,Ped,1,1,0
PFC-2022-AZ-42A456F2,Ped,1,1,0
